id,order_id,payment_method,amount
293,464,americanexpress,13
294,888,americanexpress,29
295,280,mastercard,62
296,538,americanexpress,37
297,507,americanexpress,31
298,125,americanexpress,19
299,400,visa,12
300,725,americanexpress,24
301,166,mastercard,48
302,431,americanexpress,24
303,324,americanexpress,22
304,625,americanexpress,35
305,962,mastercard,2
306,39,americanexpress,16
307,815,visa,58
308,255,americanexpress,54
309,296,americanexpress,86
310,747,visa,80
311,833,mastercard,96
312,370,americanexpress,58
313,301,americanexpress,98
314,798,mastercard,62
315,232,mastercard,52
316,291,americanexpress,83
317,18,americanexpress,95
318,945,visa,86
319,776,americanexpress,37
320,783,visa,23
321,71,visa,12
322,751,mastercard,44
323,829,mastercard,61
324,954,visa,56
325,645,visa,28
326,281,americanexpress,22
327,965,americanexpress,11
328,453,mastercard,35
329,308,americanexpress,33
330,489,visa,6
331,669,americanexpress,47
332,707,mastercard,92
333,824,americanexpress,50
334,605,visa,47
335,484,mastercard,65
336,920,americanexpress,52
337,565,visa,39
338,902,visa,96
339,598,americanexpress,64
340,608,visa,82
341,72,mastercard,64
342,347,visa,74
343,202,americanexpress,41
344,102,americanexpress,25
345,283,americanexpress,89
346,764,americanexpress,100
347,929,visa,23
348,623,mastercard,88
349,157,americanexpress,95
350,592,visa,26
351,714,visa,91
352,857,mastercard,26
353,901,visa,27
354,274,visa,74
355,787,visa,22
356,902,americanexpress,89
357,467,mastercard,50
358,687,mastercard,3
359,194,visa,73
360,435,mastercard,7
361,491,visa,30
362,823,mastercard,89
363,785,americanexpress,92
364,968,mastercard,11
365,350,mastercard,80
366,198,visa,31
367,318,americanexpress,67
368,38,americanexpress,40
369,783,visa,58
370,218,mastercard,97
371,603,mastercard,74
372,507,americanexpress,17
373,949,visa,48
374,592,mastercard,65
375,154,mastercard,94
376,316,americanexpress,81
377,235,mastercard,28
378,251,mastercard,13
379,277,visa,38
380,350,mastercard,7
381,133,americanexpress,30
382,649,visa,95
383,750,mastercard,53
384,412,americanexpress,38
385,569,visa,74
386,401,mastercard,52
387,639,visa,86
388,614,visa,11
389,260,mastercard,85
390,190,visa,16
391,43,mastercard,94
392,98,visa,62
393,549,americanexpress,52
394,48,mastercard,79
395,610,mastercard,93
396,648,visa,23
397,336,mastercard,42
398,537,americanexpress,61
399,335,americanexpress,16
400,345,visa,66
401,347,americanexpress,70
402,318,mastercard,36
403,531,americanexpress,67
404,53,americanexpress,54
405,779,mastercard,37
406,81,americanexpress,83
407,451,americanexpress,96
408,181,visa,15
409,389,visa,87
410,328,americanexpress,83
411,919,americanexpress,66
412,672,americanexpress,63
413,291,visa,17
414,863,mastercard,37
415,212,mastercard,31
416,11,mastercard,11
417,109,americanexpress,64
418,612,visa,83
419,329,visa,98
420,859,visa,63
421,191,americanexpress,15
422,698,americanexpress,64
423,82,americanexpress,100
424,232,americanexpress,14
425,74,mastercard,34
426,678,americanexpress,37
427,100,mastercard,96
428,15,mastercard,83
429,616,visa,17
430,12,americanexpress,8
431,539,americanexpress,59
432,351,americanexpress,22
433,692,americanexpress,24
434,283,americanexpress,32
435,874,americanexpress,90
436,482,visa,56
437,966,visa,51
438,366,visa,21
439,458,visa,41
440,827,mastercard,35
441,245,visa,6
442,837,americanexpress,100
443,28,mastercard,28
444,92,mastercard,24
445,469,mastercard,67
446,266,mastercard,6
447,883,americanexpress,66
448,278,visa,50
449,579,mastercard,57
450,5,americanexpress,86
451,152,visa,5
452,673,visa,26
453,837,visa,75
454,418,mastercard,86
455,22,mastercard,8
456,899,visa,69
457,223,americanexpress,21
458,164,americanexpress,16
459,226,americanexpress,100
460,729,americanexpress,16
461,114,mastercard,62
462,882,americanexpress,9
463,839,mastercard,82
464,237,americanexpress,76
465,216,americanexpress,100
466,411,visa,39
467,163,mastercard,68
468,532,americanexpress,8
469,8,visa,86
470,899,mastercard,54
471,869,americanexpress,94
472,682,americanexpress,38
473,138,americanexpress,58
474,496,americanexpress,60
475,546,mastercard,8
476,357,mastercard,77
477,937,americanexpress,89
478,836,americanexpress,72
479,985,visa,92
480,360,mastercard,46
481,263,mastercard,29
482,522,visa,79
483,612,mastercard,24
484,718,visa,70
485,712,americanexpress,100
486,929,mastercard,8
487,287,visa,57
488,995,mastercard,3
489,215,americanexpress,42
490,794,visa,52
491,95,mastercard,78
492,634,visa,93
493,865,mastercard,88
494,733,mastercard,30
495,714,visa,39
496,277,mastercard,51
497,655,visa,49
498,623,americanexpress,68
499,431,americanexpress,4
500,849,mastercard,20
501,351,visa,52
502,81,visa,25
503,378,visa,24
504,336,visa,25
505,554,mastercard,60
506,261,americanexpress,26
507,430,visa,75
508,446,mastercard,86
509,949,visa,69
510,68,mastercard,64
511,84,mastercard,58
512,972,visa,30
513,569,visa,87
514,859,americanexpress,25
515,461,americanexpress,61
516,763,americanexpress,72
517,298,visa,79
518,96,visa,9
519,76,mastercard,15
520,911,mastercard,10
521,660,americanexpress,3
522,751,mastercard,18
523,12,mastercard,80
524,777,visa,16
525,491,visa,33
526,858,visa,18
527,592,americanexpress,84
528,212,mastercard,14
529,856,visa,76
530,181,visa,10
531,535,mastercard,85
532,487,mastercard,23
533,261,visa,90
534,475,americanexpress,69
535,750,americanexpress,91
536,92,mastercard,33
537,921,mastercard,97
538,959,americanexpress,90
539,89,americanexpress,36
540,777,visa,74
541,949,visa,36
542,956,visa,96
543,906,mastercard,15
544,964,americanexpress,89
545,954,americanexpress,83
546,934,mastercard,6
547,917,visa,20
548,802,mastercard,98
549,797,americanexpress,97
550,415,americanexpress,14
551,392,americanexpress,40
552,653,mastercard,2
553,842,visa,60
554,204,visa,88
555,781,visa,42
556,881,americanexpress,70
557,100,visa,89
558,355,visa,13
559,727,mastercard,23
560,450,americanexpress,65
561,4,americanexpress,99
562,725,visa,95
563,760,visa,23
564,151,mastercard,98
565,548,visa,86
566,930,mastercard,6
567,957,mastercard,57
568,151,americanexpress,26
569,635,mastercard,85
570,572,americanexpress,45
571,134,mastercard,56
572,147,mastercard,86
573,374,visa,28
574,792,americanexpress,3
575,909,americanexpress,43
576,824,mastercard,11
577,232,americanexpress,31
578,862,visa,7
579,693,visa,32
580,250,americanexpress,78
581,691,mastercard,40
582,287,americanexpress,59
583,525,mastercard,89
584,492,mastercard,82
585,72,visa,95
586,435,americanexpress,38
587,572,visa,82
588,785,americanexpress,86
589,742,mastercard,82
590,574,mastercard,63
591,107,mastercard,44
592,641,mastercard,28
593,611,visa,39
594,682,visa,81
595,941,mastercard,74
596,502,visa,34
597,694,americanexpress,68
598,997,visa,11
599,413,americanexpress,9
600,206,americanexpress,75
601,144,visa,80
602,172,mastercard,54
603,642,mastercard,36
604,778,mastercard,44
605,500,americanexpress,73
606,28,americanexpress,46
607,421,mastercard,56
608,278,visa,86
609,95,americanexpress,44
610,225,americanexpress,90
611,875,americanexpress,58
612,940,mastercard,73
613,210,americanexpress,62
614,22,americanexpress,60
615,165,mastercard,95
616,407,visa,94
617,487,mastercard,27
618,205,americanexpress,22
619,473,mastercard,47
620,954,mastercard,60
621,911,mastercard,13
622,362,mastercard,65
623,238,americanexpress,36
624,499,mastercard,8
625,430,mastercard,13
626,438,visa,4
627,790,visa,31
628,615,americanexpress,34
629,716,visa,14
630,734,mastercard,41
631,79,mastercard,70
632,731,americanexpress,46
633,778,visa,82
634,581,americanexpress,81
635,704,americanexpress,97
636,316,mastercard,49
637,719,americanexpress,2
638,399,visa,93
639,289,americanexpress,63
640,314,visa,21
641,584,visa,59
642,951,americanexpress,51
643,898,mastercard,91
644,831,americanexpress,19
645,462,visa,28
646,787,mastercard,84
647,426,mastercard,18
648,452,mastercard,46
649,415,mastercard,56
650,233,americanexpress,90
651,763,americanexpress,13
652,53,americanexpress,13
653,361,americanexpress,80
654,28,americanexpress,46
655,163,mastercard,84
656,251,mastercard,72
657,29,visa,8
658,281,visa,12
659,598,mastercard,42
660,892,visa,6
661,584,americanexpress,17
662,222,mastercard,97
663,224,mastercard,40
664,25,americanexpress,14
665,730,americanexpress,85
666,699,mastercard,5
667,509,mastercard,81
668,544,americanexpress,99
669,127,visa,72
670,788,visa,18
671,976,americanexpress,47
672,218,visa,67
673,650,americanexpress,98
674,920,americanexpress,5
675,667,mastercard,13
676,92,visa,95
677,81,mastercard,44
678,636,mastercard,21
679,264,mastercard,41
680,592,visa,58
681,656,visa,32
682,631,visa,18
683,161,visa,75
684,689,mastercard,78
685,275,mastercard,34
686,291,mastercard,100
687,67,visa,44
688,156,visa,12
689,839,americanexpress,34
690,272,mastercard,2
691,168,visa,46
692,947,americanexpress,6
693,454,americanexpress,55
694,604,mastercard,67
695,548,visa,23
696,94,visa,11
697,932,visa,56
698,158,americanexpress,9
699,937,americanexpress,62
700,667,visa,44
701,886,visa,99
702,768,americanexpress,78
703,429,americanexpress,71
704,944,visa,30
705,425,mastercard,12
706,846,mastercard,26
707,279,visa,78
708,725,mastercard,98
709,863,americanexpress,6
710,322,visa,82
711,537,mastercard,90
712,643,mastercard,81
713,268,visa,11
714,440,mastercard,79
715,874,americanexpress,82
716,91,americanexpress,67
717,313,americanexpress,43
718,350,visa,62
719,793,mastercard,14
720,795,visa,31
721,191,americanexpress,61
722,264,visa,48
723,817,visa,96
724,681,mastercard,36
725,697,americanexpress,86
726,73,mastercard,67
727,575,mastercard,87
728,829,visa,39
729,803,americanexpress,51
730,446,americanexpress,68
731,745,americanexpress,61
732,608,mastercard,62
733,114,mastercard,80
734,598,mastercard,94
735,401,americanexpress,92
736,490,mastercard,63
737,908,mastercard,99
738,525,visa,81
739,316,americanexpress,30
740,714,americanexpress,49
741,35,mastercard,94
742,689,visa,71
743,317,americanexpress,55
744,215,visa,68
745,807,visa,8
746,500,americanexpress,90
747,926,americanexpress,4
748,785,visa,62
749,633,americanexpress,57
750,808,visa,21
751,148,visa,92
752,448,visa,75
753,139,americanexpress,10
754,911,americanexpress,13
755,351,visa,4
756,647,americanexpress,45
757,424,americanexpress,66
758,160,mastercard,52
759,269,visa,52
760,521,americanexpress,24
761,667,mastercard,61
762,567,americanexpress,64
763,26,mastercard,50
764,659,americanexpress,71
765,967,visa,27
766,777,mastercard,34
767,329,americanexpress,11
768,287,visa,26
769,353,mastercard,43
770,62,visa,10
771,540,visa,32
772,52,mastercard,33
773,670,mastercard,67
774,20,mastercard,97
775,82,visa,15
776,774,mastercard,19
777,471,mastercard,95
778,331,americanexpress,11
779,180,visa,34
780,256,visa,89
781,196,americanexpress,69
782,328,mastercard,29
783,189,mastercard,53
784,762,americanexpress,57
785,734,americanexpress,6
786,718,visa,15
787,833,visa,82
788,672,americanexpress,80
789,428,mastercard,63
790,837,visa,42
791,778,americanexpress,95
792,138,mastercard,13
793,504,americanexpress,64
794,784,americanexpress,85
795,829,visa,43
796,856,visa,42
797,421,americanexpress,88
798,12,americanexpress,79
799,965,americanexpress,94
800,384,visa,77
801,213,visa,52
802,397,americanexpress,59
803,959,mastercard,23
804,677,visa,36
805,666,visa,10
806,658,mastercard,5
807,765,americanexpress,19
808,390,americanexpress,21
809,887,visa,12
810,72,mastercard,18
811,988,visa,71
812,323,mastercard,56
813,820,mastercard,55
814,571,visa,90
815,721,americanexpress,3
816,72,visa,75
817,222,mastercard,99
818,78,mastercard,74
819,526,americanexpress,19
820,971,mastercard,34
821,750,americanexpress,29
822,157,americanexpress,52
823,118,visa,20
824,965,visa,8
825,754,mastercard,20
826,688,americanexpress,90
827,205,visa,76
828,120,americanexpress,12
829,814,americanexpress,68
830,308,americanexpress,11
831,32,visa,62
832,730,visa,21
833,571,visa,13
834,955,mastercard,10
835,646,americanexpress,100
836,902,visa,95
837,307,americanexpress,85
838,882,visa,3
839,370,mastercard,57
840,818,visa,37
841,343,americanexpress,46
842,557,mastercard,42
843,55,mastercard,25
844,748,americanexpress,26
845,988,mastercard,79
846,77,americanexpress,78
847,667,americanexpress,64
848,22,americanexpress,23
849,165,americanexpress,97
850,121,mastercard,2
851,250,americanexpress,30
852,498,mastercard,71
853,404,visa,55
854,917,mastercard,21
855,941,visa,11
856,462,visa,74
857,789,mastercard,69
858,835,americanexpress,66
859,655,visa,65
860,668,visa,73
861,276,americanexpress,83
862,688,americanexpress,39
863,498,mastercard,99
864,310,mastercard,64
865,577,mastercard,100
866,497,mastercard,81
867,286,americanexpress,76
868,629,visa,14
869,585,americanexpress,7
870,610,visa,32
871,36,mastercard,37
872,898,americanexpress,98
873,840,visa,28
874,989,mastercard,89
875,566,mastercard,26
876,464,visa,52
877,716,visa,59
878,264,visa,27
879,466,americanexpress,4
880,820,mastercard,92
881,911,mastercard,100
882,159,mastercard,75
883,532,visa,4
884,378,visa,63
885,872,visa,74
886,863,americanexpress,49
887,198,mastercard,20
888,83,americanexpress,90
889,816,mastercard,57
890,312,americanexpress,9
891,985,americanexpress,66
892,152,americanexpress,6
893,981,mastercard,46
894,922,visa,25
895,377,americanexpress,59
896,838,americanexpress,73
897,526,mastercard,34
898,154,visa,34
899,819,americanexpress,69
900,481,americanexpress,96
901,921,mastercard,32
902,237,americanexpress,24
903,411,visa,86
904,878,visa,59
905,879,mastercard,91
906,503,americanexpress,85
907,42,visa,11
908,490,visa,34
909,667,americanexpress,29
910,192,visa,26
911,484,visa,55
912,513,mastercard,51
913,31,visa,6
914,66,mastercard,32
915,864,americanexpress,97
916,890,americanexpress,100
917,237,mastercard,4
918,783,visa,89
919,877,americanexpress,87
920,710,visa,57
921,114,mastercard,23
922,784,americanexpress,6
923,104,mastercard,43
924,103,mastercard,89
925,840,visa,72
926,392,americanexpress,18
927,921,americanexpress,88
928,359,mastercard,54
929,271,mastercard,6
930,268,visa,75
931,215,visa,7
932,423,mastercard,99
933,513,americanexpress,34
934,107,americanexpress,39
935,78,visa,24
936,403,mastercard,7
937,159,visa,68
938,206,mastercard,64
939,351,mastercard,97
940,891,mastercard,34
941,456,americanexpress,58
942,460,visa,63
943,477,mastercard,15
944,889,mastercard,61
945,603,mastercard,86
946,731,americanexpress,19
947,79,mastercard,67
948,544,mastercard,31
949,957,americanexpress,4
950,386,mastercard,58
951,735,mastercard,24
952,851,mastercard,62
953,286,visa,34
954,761,mastercard,42
955,318,visa,80
956,602,americanexpress,67
957,176,americanexpress,44
958,97,americanexpress,53
959,452,americanexpress,8
960,419,americanexpress,89
961,263,americanexpress,11
962,242,mastercard,97
963,278,mastercard,99
964,70,visa,69
965,145,visa,88
966,76,visa,4
967,940,americanexpress,64
968,686,americanexpress,45
969,843,americanexpress,81
970,630,mastercard,83
971,848,visa,50
972,548,americanexpress,85
973,248,americanexpress,87
974,471,americanexpress,17
975,466,mastercard,39
976,483,americanexpress,45
977,540,mastercard,73
978,150,visa,79
979,604,americanexpress,15
980,857,mastercard,15
981,633,americanexpress,99
982,30,visa,20
983,413,americanexpress,38
984,210,visa,99
985,619,americanexpress,16
986,784,mastercard,27
987,848,mastercard,78
988,199,americanexpress,74
989,215,americanexpress,86
990,564,americanexpress,39
991,527,visa,99
992,474,americanexpress,88
993,832,mastercard,25
994,369,americanexpress,14
995,384,visa,45
996,589,visa,63
997,785,visa,5
998,899,americanexpress,39
999,856,visa,66
1000,503,visa,90
